ingreso_Max_Sum;retiro_Max_Sum;suspension_temporal_Max_Sum;incapacidas_por_trabajo_Max_Sum;vacaciones_Max_Sum;cot_obligatoria_salud_Max_Sum;cot_obligatoria_salud_Max_Count;aporte_cot_obligatoria_pension_Max_Sum;aporte_cot_obligatoria_pension_Max_Count;variacion_transitoria_salario_Max_Sum;variacion_permanente_salario_Max_Sum;licencia_maternidad_Max_Sum;cot_obligatoria_arl_Max_Sum;cot_obligatoria_arl_Max_Count;valor_aportes_ccf_Max_Sum;valor_aportes_ccf_Max_Count;valor_aportes_parafiscales_sena_Max_Sum;valor_aportes_parafiscales_sena_Max_Count;valor_aportes_parafiscales_icbf_Max_Sum;valor_aportes_parafiscales_icbf_Max_Count;Tipologia;Edad_fin;Sexo_fin;YEAR;MONTH;Contribuye_salud_Sum;Contribuye_pension_Sum;Contribuye_arl_Sum;Contribuye_ccf_Sum;Contribuye_sena_Sum;Contribuye_icbf_Sum;Total_relaciones_laborales
1;1;0;0;0;5969800;45;256200;45;0;0;0;20700;45;31400;45;0;45;0;45;"Independiente";100;"M";2018;7;44;2;4;2;0;0;45
2;3;0;0;0;6373100;50;541200;50;0;0;0;41200;50;31400;50;0;50;0;50;"Independiente";100;"M";2018;5;49;4;6;2;0;0;50
0;1;0;0;0;586100;9;3250000;9;1;0;0;43700;9;62600;9;417800;9;661700;9;"Dep_No_priv";93;"M";2018;5;4;2;7;2;3;3;9
4;1;0;0;0;1065600;13;6403100;13;0;0;1;281400;13;819700;13;185600;13;881200;13;"Dep_No_priv";93;"M";2018;8;8;5;10;4;3;5;13
2;0;0;0;0;893100;9;6403200;9;0;0;2;121600;9;869600;9;769000;9;1793800;9;"Dep_No_priv";93;"M";2018;7;7;5;6;4;3;5;9
0;0;1;0;0;772400;8;6252000;8;1;1;0;245900;8;1593200;8;404100;8;1789100;8;"Dep_No_priv";93;"M";2018;6;5;4;6;4;3;5;8
6;4;0;0;0;75822500;668;1548200;668;0;0;0;454000;668;125600;668;0;668;0;668;"Independiente";91;"M";2018;6;667;11;28;8;0;0;668
0;1;0;0;0;76180500;658;2684100;658;2;0;0;461000;658;125600;658;0;658;0;658;"Independiente";91;"M";2018;7;657;9;26;8;0;0;658
3;2;0;0;0;76311000;671;1635500;671;1;1;0;513900;671;109900;671;0;671;0;671;"Independiente";91;"M";2018;5;670;7;24;7;0;0;671
2;2;0;0;0;74864600;654;1373200;654;1;1;0;419600;654;120900;654;0;654;0;654;"Independiente";91;"M";2018;8;653;9;26;8;0;0;654
11;4;0;0;0;152020900;1180;2908600;1180;6;1;0;1292000;1180;599400;1180;15700;1180;23500;1180;"Independiente";87;"M";2018;6;1175;10;53;16;1;1;1180
6;6;0;0;0;149696600;1189;2735500;1189;5;1;0;1302100;1189;562200;1189;0;1189;0;1189;"Independiente";87;"M";2018;5;1183;10;54;16;0;0;1189
12;4;0;0;0;149595600;1175;3027500;1175;7;2;0;1304100;1175;586300;1175;0;1175;0;1175;"Independiente";87;"M";2018;7;1169;11;52;17;0;0;1175
4;4;0;0;0;151304100;1160;2939900;1160;7;1;0;1359800;1160;592500;1160;0;1160;0;1160;"Independiente";87;"M";2018;8;1156;10;48;17;0;0;1160
9;5;0;0;0;128542900;1130;2172200;1130;4;3;0;876400;1130;220300;1130;0;1130;0;1130;"Independiente";88;"M";2018;8;1122;11;53;13;0;0;1130
7;10;0;0;0;128623900;1148;2599600;1148;3;2;0;818100;1148;153900;1148;0;1148;0;1148;"Independiente";88;"M";2018;5;1143;11;50;10;0;0;1148
6;2;0;0;0;127846800;1129;1702200;1129;4;4;0;803700;1129;185300;1129;0;1129;0;1129;"Independiente";88;"M";2018;7;1123;10;49;12;0;0;1129
6;2;0;0;0;7497900;45;4804500;45;9;2;1;926100;45;3457200;45;906400;45;1336000;45;"Dep_sec_priv";93;"M";2018;6;45;19;43;43;10;9;45
4;1;0;0;0;8871300;46;6420300;46;9;1;2;1363400;46;3893400;46;1088500;46;1609200;46;"Dep_sec_priv";93;"M";2018;7;46;19;44;44;11;10;46
7;3;0;0;0;9338100;53;7424000;53;14;1;2;1396900;53;4227400;53;1086300;53;1629400;53;"Dep_sec_priv";93;"M";2018;8;53;24;50;52;10;10;53
0;0;0;0;0;250300;3;1001000;3;2;0;0;152600;3;250300;3;0;3;0;3;"Dep_sec_priv";114;"M";2018;7;3;3;3;3;0;0;3
0;0;0;0;0;243700;3;974400;3;1;0;0;148500;3;243700;3;0;3;0;3;"Dep_sec_priv";114;"M";2018;8;3;3;3;3;0;0;3
1;1;1;0;0;268200;4;1072100;4;2;0;0;162900;4;268200;4;0;4;0;4;"Dep_sec_priv";114;"M";2018;6;4;3;4;4;0;0;4
